Siren,CA2013,CA2014,CA2015,CA2016,CA2017,Résultat2013,Résultat2014,Résultat2015,Résultat2016,Résultat2017,Effectif2013,Effectif2014,Effectif2015,Effectif2016,Effectif2017
341078897,357425,367387,372475,402539,387120,2355,35554,21627,-3259,12700,8,8,8,9,7
341104586,9834940,10020150,11401640,12252980,13127210,326790,326240,751070,3774980,1052390,59,58,60,64,64
341107134,524201,383411,305142,294451,305033,-77101,-38426,14122,862,14519,11,8,5,6,5
341117489,1749465,1067249,2552126,2895875,2996521,43322,53014,148377,110178,141438,4,5,7,7,6
341148823,16845359,16293202,15746915,15674349,17709657,1595879,1418725,1154460,1189371,1379915,118,126,122,125,124
341152395,41013010,44333836,59680732,62765425,75397122,330384,1704777,906405,2722738,123005,1077,1106,1560,1627,1926
339681850,7256500,6753370,6491280,5399350,4839160,98680,-83740,214750,-324330,19170,50,48,45,45,37
339697138,6583e3,6663e3,6985e3,8056e3,8603e3,801e3,74e4,882e3,1118e3,1064e3,26,26,25,28,28
339706343,2603e3,2268e3,223e4,1963e3,2076e3,476e3,398e3,47e4,374e3,288e3,5,5,6,6,8
339710733,3440746,3305627,3290041,3546214,3608753,398823,310007,334225,619344,478158,28,30,31,29,31
339711301,4040116,4514405,4898852,5077429,3891333,9112,158013,278060,227788,111364,17,19,19,18,9
339739344,10127564,10490673,10276909,11129469,11735328,1099884,1121131,653055,850256,614623,31,31,33,64,62
685450371,13646367,13844865,15304340,15000239,16262812,1284779,1610727,1624091,1833047,1494992,31,30,32,33,37
686280017,6098792,7259412,5777686,5223646,5936394,104362,31990,52424,65970,44717,43,40,39,38,37
686750332,11095845,8394231,9450839,8469212,6383583,267650,138011,285555,421732,3670,44,44,44,39,39
686950338,63184766,67014866,66096638,65656059,67675338,1520948,2362934,2069599,2858771,4242810,385,411,402,393,393
691720809,29376462.666666664,36356871,39366523,43363169,51110392,1361173.3333333333,1076521,1190702,1591886,1934690,293.3333333333333,252,282,308,337
658200274,7770769,5007770,11234555,8082802,11451799,194309,1673464,2120321,904772,748388,4,4,4,3,5
658200753,11131734,10457874,10874135,10633820,8964502,2682448,1669298,1933181,1914649,1234255,34,39,36,37,35
658204011,1181340,1092824,895035,1149316,1182474,77901,59327,45718,65842,31259,9,9,7,7,8
660201138,24388169,27465078,29949668,31901937,32066015,1705668,2012312,2290018,2307718,1894261,42,45,42,42e3,41
660802398,5545162,4743148,5515473,5758590,7602985,128110,-10435,-9584,23561,198302,19,19,22,21,24
431946557,311006,299595,297022,270500,267699,-4109,32458,17997,-7904,9006,4,4,4,4,4
451676092,4087915,6270539,4697297,5612915,5445256,52330,384,47684,136338,109593,33,33,32,34,39
451700413,1829003,2062261,2102957,2134672,2190166,1100,12665,26416,1291,26979,21,21,25,22,23
309991016,13436070,14003010,13650250,15861350,17694036,1470540,1558840,5702020,1391950,2914749,74,81,82,86,99
312382757,6769877,6799990,7181208,7278795,6951710,8342840,8161072,8748139,4259953,11542069,6,7,7,6,6
492429956,477910,525363,698122,844524,1086828,7100,36586,32487,95700,94634,6,6,6,6,7
339753725,33791136,48170868,50240754,45746113,36831700,654765,2764857,1725581,101633,11724,4,3,4,3,3
339765448,4030710,4019972,4875750,5563766,5591306,5509,158493,453511,638806,459127,36,37,36,39,43
339775389,178559,198362,162727,153246,148336,21176,701572,543575,443585,502460,5,4,4,4,5
339790677,1838777,2083590,2743837,3218297,3261282,60537,14319,34575,11054,105296,3,4,4,4,6
339796617,36553911,33541213,36404670,43472065,50179675,2141733,2194474,2485226,3479588,3403381,247,0,240,278,310
339802100,2536290,2480253.3333333335,1986190,2694210,2608880,59310,47213.33333333333,4940,29290,26140,7,9.333333333333334,8,7,6
339818395,7759760,8507370,7818720,6556460,7334e3,386250,289700,322610,211470,135280,27,28,28,29,28
339872251,17066354,15225015,18254097,19506897,20493640,508054,195353,480339,538631,671738,29,28,27,27,27
661980284,1467320,1632610,1294150,1251950,1575030,1135540,1617730,1245450,1021610,1056760,5,5,5,5,5
662027622,906422,1309725.3333333335,1097763,1704992,1497881,139536,42538.666666666664,30053,47915,53699,8,10.666666666666666,8,9,9
666680145,30356210,25691547.69230769,33029070,28289530,24065190,327280,57360,353820,277190,281310,35,33.230769230769226,52,41,40
670801430,3096468,3310073,913502,443e3,262e3,12832,14850,-209721,-188071,-194926,0,0,0,0,0
646550079,23914823,26333758,25820665,22218938,22620716.727272727,-4878,-161585,307005,-43493,23057.454545454544,142,138,138,129,20.727272727272727
482016482,1940482,1808974,2380630,2477083,2879488,160284,105334,105713,131830,132912,11,11,11,11,13
488342478,175686,182133,202485,219475,251451,-4336,34010,11106,-2423,26332,5,6,6,9,9
451766604,12961370,14508480,16776220,14428087,12996813,514840,636890,995e3,702874,832685,65,75,86,86,83
451799894,424937,446201,466330,516064,532889,29712,33008,36200,29444,62714,9,11,10,10,9
495386831,4037031,5177520,7437570,509194,2166221,3606471,3638466,-18061814,-20897113,-64623282,8,9,9,5,4
379042260,841310,807680,1067460,890510,972880,-720300,-433960,-239090,-2194740,1373510,4,5,5,5,6
512174780,375228,427097,291513,376969,334823,4581,-6470,-37823,-2066,-5989,2,5,4,4,4
339987448,844578,932191,1000185,967588,900705,58055,76231,60285,66243,67207,13,14,14,14,15
340035526,104504709,108231921,110743419,114711715,55068826,-159883,-1024911,-915238,-1018774,-1683986,912,928,985,1015,1025
340043926,18002775,16415422,16310998,16115830,15664868,-730213,-1119058,-730171,53036,923304,200,0,179,160,159
