Siren,CA2013,CA2014,CA2015,CA2016,CA2017,CA2018,Résultat2013,Résultat2014,Résultat2015,Résultat2016,Résultat2017,Résultat2018,Effectif2013,Effectif2014,Effectif2015,Effectif2016,Effectif2017,Effectif2018
607020336,8208790,7528929,7517960,7465437,6724959,8718786,866488,479926,424754,427385,-387409,1212206,41,39,37,40,36,43
392439741,251663,260187,267093,276685,335367,357898,9264,3896,26197,19484,18500,28073,4,4,3,4,4,4
509928362,1423995,1331451,1436358,1491005,1598551,1683493,84221,91093,120609,126297,222525,160347,20,20,19,15,16,16
480055078,309013,289772,278377,269420,260067,282406,63041,57465,59751,46192,48409,59300,6,5,5,4,4,2
619200850,70479095,44826782,62018428,75949200,107078067,122664178,1030962,-13606275,3194479,-4387779,8211455,6719826,439,426,372,359,361,355
672004249,21475668,21590666,22389860,22013149,21632386,20524096,-338465,767058,1114673,889466,159384,-2642819,167,155,156,156,157,182
392622791,1076816,1398651,1301613,1487899,1732906,1882212,76431,108546,40749,90622,143700,164503,12,13,15,13,0,49
674500731,1734093,1940911,1803581,1773803,1731222,2179951,60797,64232,59467,68995,67488,44509,17,17,16,16,16,16
680200516,401091,1039374,976057,1058181,1279084,1497475,48323,198818,26474,-20628,23330,130521,11,13,13,14,18,16
687280271,9585449,7621005,9176807,13635573,11292413,11573011,691017,481453,570514,808016,1032281,838934,25,24,26,26,27,25
691090534,7390140,6845293,7911604,8107284,8220228,9829352,-7244,-63825,35186,-98339,-75986,63008,26,0,0,27,25,25
511657314,375099,412912,371506,383296,219759,49167,38895,63645,26262,12350,-15220,-29333,2,2,3,0,0,1
393049762,16113,35022,29272,20062,12493,10985,-44632,-46279,-45994,-46e3,-39308,-37011,1,1,1,1,1,1
393243266,5213170,5372142,5802233,6179217,6616080,6454903,48243,70539,262913,293855,275967,198776,50,51,49,54,60,62
481217743,2994775,3270888,2958067,3033429,2765854,3129867,9757,9612,2557,1515,2631,10533,11,11,11,12,0,14
322367509,3603765,3762755,3812410,3707250,3775178,4355556,307138,294710,280805,207416,240692,457727,28,30,28,28,29,33
322939695,9414970,10848988,9027203,9136704,10512551,13179286,172867,2870,7562,933,6665,3341,123,94,138,127,95,121
637220377,92724070,82027940,77092410,74421e3,89496520,104456811,5611640,5458330,4558860,5084130,7582610,8396475,139,131,130,135,143,167
638204412,12699594,12969301,13241015,13459289,13286592,12719450,989357,734160,827754,985236,1042450,681851,100,102,102,107,106,101
692720287,5258734,5201296,5692297,6147992,6237939,6656072,277406,212479,363617,372725,461264,463883,37,32,31,32,32,32
692720584,210485,227906,206864,218371,181274,190475,12501,32022,14844,23504,5623,9166,4,4,4,4,3,3
323592196,2689520,2880610,3275810,3033040,3004751,3017804,45530,64350,78410,62950,72453,81494,6,7,8,8,8,8
511979486,62685,50740,63855,68433,80606,82068,-12706,-9707,7640,-2701,5886,8154,1,1,1,0,0,2
697220754,1045791,1068889,1132807,1033776,805387,750682,223596,302927,295120,345620,145891,134272,10,10,9,8,8,8
702042508,4161006,4358502,4577309,5101767,5100226,5110151,167528,237205,214061,280155,367036,240859,43,43,45,47,50,49
444156475,11703538,12185208,12270228,12740138,12135360,11279684,208234,263440,282500,303947,527057,566567,85,80,81,80,75,75
707280236,14409059,15976207,15966490,15275107,15522803,16073490,-361033,478613,209550,99791,280045,300744,72,66,67,63,62,58
