Siren,CA2013,CA2014,CA2015,CA2016,CA2017,CA2018,Résultat2013,Résultat2014,Résultat2015,Résultat2016,Résultat2017,Résultat2018,Effectif2013,Effectif2014,Effectif2015,Effectif2016,Effectif2017,Effectif2018,clustersCA,clustersRES,clustersEFF,activite,nom
318845229,43882940,40236360,32921770,32213940,37984120,34272780,665670,458750,716450,81360,602930,127350,346,335,340,324,324,318,C,C,B,Travaux de terrassement specialises ou de grande masse,LUC DURAND
440516490,3213878,3184862,3142794,2953707,2989428,3036642,35687,73554,462379,408090,442704,448773,35,33,30,25,24,26,C,A,D,Organisation de jeux de hasard et d'argent,SOCIETE D'EXPLOITATION DU CASINO DE BOURBON LANCY
440567287,427907,388941,368417,401749,475380,491134,261900,104797,86742,45639,98836,77690,2,2,2,2,2,2,A,D,A,Activites des sieges sociaux,SARL GROUPE LEBRUN
312787153,649138,659092,560570,559711,590785,592848,112360,135e3,118418,99577,103819,93158,4,4,5,5,4,4,C,C,C,Mecanique industrielle,SOCIETE TECHNIQUE DE SOUDAGE ET MONTAGE SARL
312939440,3863900,4368880,3729910,3622650,3875010,3722e3,94010,191e3,109870,175040,113780,147010,14,13,12,13,13,11,C,A,B,Fabrication de beton pret a l'emploi,TRIFAULT BETON & MATERIAUX
313052672,11847792,14757155,15069829.333333332,14972680,16327332,16826260,399800,326845,332712,412121,343208,394489,32,41,54.666666666666664,45,47,47,B,D,C,Comm. de gros (comm. interent.) de fourn. et equi. div. pour le comm. et serv.,PRO-DELICES
313242687,3521055,3548964,3700278,3699807,3862963,4029350,-16539,31787,104886,66599,-19420,-165581,31,29,32,31,33,34,A,C,A,Transports routiers de fret interurbains,TRANSPORTS OUBRIER
503653818,72737535,70078977,65476664,71461794,76778039,75336245,4450727,2363456,2704813,3539744,4931914,3996852,463,499,465,467,476,444,A,B,B,Fabrication de preparations pharmaceutiques,DELPHARM REIMS
315698407,449322,538529,572726,584420,600976,613645,11997,33005,55233,42311,69725,77349,7,7,7,7,7,3,B,A,B,"Ingenierie, etudes techniques",S.E.R.I.A.L.
531829562,161129,136063,155868,143185,182881,246238,2061,13393,-15740,5262,9196,-12032,1,1,1,1,1,2,A,D,A,Travaux de maconnerie generale et gros oeuvre de batiment,MACONNERIE BAZZO DAX
503700254,260654,103394,67937,61938,93888,53002,157028,-17145,-984144,37541,-118224,-10285,2,1,1,1,0,0,C,D,D,Activites des societes holding,D.C.F.31
503706459,2022760,1882760,2218660,2209560,2461180,2608090,628250,524620,958360,1160630,535240,-1197070,16,18,20,22,22,33,A,C,A,Activites des societes holding,L.I.M Group
301275723,14022940,13574430,14523420,14382040,14171760,13912350,248920,199540,372740,293410,279650,386400,109,105,105,109,109,114,B,A,A,Autre imprimerie (labeur),CLOITRE IMPRIMEURS
301350161,3305954,3553443,3508213,3576982,2820532,2859988,-139079,158535,23726,154653,245980,246420,25,27,28,26,12,12,D,A,B,Restauration traditionnelle,COMPAGNIE DU MONT BLANC RESTAURATION (EN ABREGE CMB RESTAURATION)
301503066,7364e3,7841e3,8461550,8421330,8413980,8640830,513e3,573900,628930,531070,572010,550420,99,107,106,108,98,101,B,C,B,Activites comptables,GESTION 4 CONSEIL
440095420,1694044,1712122,1668691,2020598,2145705,2326552,80037,74279,60729,76216,84278,96959,5,4,4,6,5,6,A,B,C,Commerce de gros (comm. interent.) de bois et de materiaux de construction,TOUS MATERIAUX
529752537,1227157.6,774642,704395,748555,724484,1248191,84153.6,13522,133913,159324,117627,268976,5.6,5,4,4,4,5,C,B,D,Agences immobilieres,MEDICIS PATRIMOINE ALPES
304103708,2518730,2399530,2367570,2519,2631999,2847928,4020,10920,101820,142,148417,34760,66,58,58,68,71,73,C,B,A,Nettoyage courant des batiments,CHROME NETTOYAGE
304165962,46944380,45261480,44799e3,30148960,30886210,31617249,255910,367280,153470,103090,403570,316187,2001,226,223,238,232,239,D,D,D,"Comm. de det. fleurs plantes graines engr. ani. de comp., ali. ani. en mag. spec",INTER-SERVICE
311915920,9191276,9232976,8604474,10066789,12548485,11990536,347739,651998,631847,646680,1162168,1015376,45,62,73,65,81,110,A,B,A,Entretien et reparation de vehicules automobiles legers,TEOPLUS
311995740,22297299,21288657,20378583,19724574,19120123,17623292,1193758,2197579,1575438,1275363,2299972,1461420,24,25,24,24e3,23,20,D,B,A,Transformation du the et du cafe,PAUL DEQUIDT TORREFACTEUR
438256646,1165610,933392,1296193,970108,942559,968040,8673,-57448,7650,21378,22355,29999,5,4,4,4,3,3,D,A,D,"Comm. de gros (comm. interent.) de mach. extrac., la constr. et genie civil",AQUAREX EQUIPEMENT
504484569,192664,180695,193862,188262,202141,185681,78909,59526,53546,41106,41229,66200,1,1,1,1,1,1,B,D,A,,SOCIETE A RESPONSABILITE LIMITEE CHAMPAGNE MOUZON PERE ET FILS - SARL CHAMPAGNE MOUZON PERE ET FILS
312284276,4964599,4630194,5245883,4759497,3409522,2971878,357962,218509,304847,-149790,-846063,-453379,19,18,17,18,14,14,D,C,B,Fabrication de pesticides et d'autres produits agrochimiques,LABORATOIRE MERIEL
440236867,486816,515042,494719,421113,380944,450877,13791,-9465,22735,-32072,-1431,25424,9,8,7,7,6,9,D,D,D,Transports routiers de fret de proximite,VIRONE
312645849,21013790,21933150,22504230,21625020,21313900,22197707,69100,363800,-53890,-490070,17830,214322,180,193,187,197,191,186,B,D,C,Transports routiers de fret interurbains,JOLIVAL FRANCE
309586808,721210,763830,792280,835640,905060,855819,4740,26100,17910,7200,18550,-3862,14,14,15,16,16,17,B,C,C,Ambulances,A.H.D.
440797835,53064518,54167863,53688151,51434979,55563169,58892597,-291242,-205757,371604,-1476467,3440543,4790132,357,339,341,325,291,285,A,B,B,Fabrication de verre creux,VERRERIES BROSSE SAS
309858306,13048613.333333334,16835062,17679490,22966759,22662742,26635952,385194.6666666666,228322,631050,1087982,401837,559360,62.66666666666667,44,46,48,48,45,B,A,D,Affretement et organisation des transports,WORLD COURIER FRANCE
533210571,3640090,4417985,4955536,5418399,5740777,6308663,106813,142,33848,23130,26455,34051,14,14,15,16,16,16,B,D,C,Centrales d'achat alimentaires,SPARNADRIVE
533361994,379743,460237,429265,401602,437334,414140,-21297,19566,21533,25146,-3507,4902,3,3,3,4,0,4,B,A,B,Peche en mer,ARMEMENT FREZAL
444674816,11351507,11373902,11951485,12325913,12633598,12988723,668206,755188,810922,717563,717863,740974,125,123,131,137,135,136,A,C,C,Activites comptables,SAS ORIAL
444730352,111585,91109,125289,122661,96732,120815,23734,-5265,24230,23207,-5952,21644,1,1,1,1,1,1,B,C,A,Comm. de gros (comm. interent.) de fournitures et equipements industriels divers,G.C EXPORT
307258764,1526585,1434054,1183506,1183540,1222844,1389625,-8842,6390,98742,103493,98873,120621,12,9,9,10,11,10,C,A,D,Entretien et reparation de vehicules automobiles legers,SALIGNAT SAS
306188392,1138680,1262470,1202300,1091680,1100460,1170030,2920,6560,-2540,2340,5060,25420,1,1,1,1,1,1,D,B,A,Commerce de detail de carburants en magasin specialise,GATT ET FILS
306290073,13167354,18340258,18471686,20804603,19914976,9506118,296971,208703,239415,661224,553086,365650,100,113,107,114,120,57,D,A,B,Activites des voyagistes,PRET A PARTIR
533374823,2675625,3591495,4232428,3944588,4511956,3943892,261695,2772,138953,212229,467563,191827,1,1,1,1,1,1,B,B,A,Demantelement d'epaves,ENVIE - AFM SUD OUEST SAS (EASO)
533061941,1497718,2864314,3945988,5340390,9025044,9228181,48627,184539,268730,388689,532905,451057,17,44,71,53,102,104,A,A,C,Autres services de restauration n.c.a.,ACSENT DU SUD OUEST
533549580,61417,68491,64743,60429,52135,58365,-6861,-1815,-829,26240,-1879,301,1,1,1,0,1,1,D,A,B,Autres commerces de detail specialises divers,AURALICE
442528683,277025,208586,189291,272938,193118,273489,-10167,-13317,15832,26605,-3940,6130,2,1,1,0,1,1,C,A,D,Commerce de gros (commerce interentreprises) d'autres biens domestiques,LA PEPITE D'OR
445292980,346294,610809,309816,324617,498306,458847,407314,264056,202444,89059,167547,100569,3,3,3,3,3,3,C,D,A,Promotion immobiliere de logements,CIRPA CONSTRUCTION
445307523,16339644,19872300,21744102,23384317,27142874,33018032,297682,817507,1219353,1358350,1152670,1870146,148,148,141,140,142,155,A,A,A,Fabrication de materiel de levage et de manutention,BOWDEN
487734055,919224,830812,878321,875119,882699,870255,378,743,11942,17911,31321,56010,7,6,5,5,5,6,C,B,D,Fabrication d'equipements aerauliques et frigorifiques industriels,AJ GROUP
314398504,3198450,3128360,3231710,3298580,3356380,3110050,130450,59570,121420,104650,91700,123970,11,11,12,12,12,12,B,D,C,Superettes,SOCIETE D'ALIMENTATION DES PALMIERS
314625799,543570,428460,472220,514940,558990,689200,17710,-2030,1430,16170,40100,55327,6,6,5,6,5,8,A,B,A,Travaux de terrassement courants et travaux preparatoires,ENTREPRISE PAGANI
441579745,928596,950491,646726,481731,420019,294867,-56236,-84379,-22859,3294,3958,2072,3,2,2,0,2,1,D,A,D,Vente a distance sur catalogue general,SARL EUROPE ACCESSOIRES
